message_key,kafka_timestamp,event_id,venta_id,event_type,canal,cliente_id,segmento,producto_id,categoria,cantidad,precio_base,descuento_pct,precio_final,monto_venta,metodo_pago,stock_actual,alerta,event_timestamp,processing_timestamp,batch_id
VN-0000325,2026-05-14 01:18:41.583,EVT-0000001,VN-0000325,venta_completada,tienda_norte,CLI-02647,recurrente,PRD-0016,deportes,2,200.22,5.0,190.21,380.42,tarjeta,93,,2026-05-14 01:18:41,2026-05-14 01:18:50.010,4
VN-0000972,2026-05-14 01:18:41.685,EVT-0000002,VN-0000972,venta_completada,tienda_norte,CLI-02760,recurrente,PRD-0022,hogar,4,64.46,0.0,64.46,257.84,tarjeta,138,,2026-05-14 01:18:41,2026-05-14 01:18:50.010,4
VN-0001490,2026-05-14 01:18:41.789,EVT-0000003,VN-0001490,stock_bajo,tienda_norte,CLI-00126,nuevo,PRD-0193,ropa,3,46.6,20.0,37.28,111.84,tarjeta,222,,2026-05-14 01:18:41,2026-05-14 01:18:50.010,4
VN-0004404,2026-05-14 01:18:41.891,EVT-0000004,VN-0004404,stock_bajo,tienda_norte,CLI-02563,nuevo,PRD-0046,electronica,3,362.76,5.0,344.62,1033.86,tarjeta,164,,2026-05-14 01:18:41,2026-05-14 01:18:50.010,4
VS-0001534,2026-05-14 01:18:41.994,EVT-0000005,VS-0001534,venta_iniciada,tienda_sur,CLI-00861,inactivo,PRD-0193,ropa,5,46.6,15.0,39.61,198.05,efectivo,282,,2026-05-14 01:18:41,2026-05-14 01:18:50.010,4
VN-0003547,2026-05-14 01:18:42.099,EVT-0000006,VN-0003547,stock_bajo,tienda_norte,CLI-01150,recurrente,PRD-0017,electronica,2,739.99,10.0,665.99,1331.98,efectivo,158,,2026-05-14 01:18:42,2026-05-14 01:18:50.010,4
VS-0001103,2026-05-14 01:18:42.202,EVT-0000007,VS-0001103,stock_bajo,tienda_sur,CLI-01901,recurrente,PRD-0190,hogar,3,236.97,0.0,236.97,710.91,tarjeta,216,,2026-05-14 01:18:42,2026-05-14 01:18:50.010,4
VS-0004390,2026-05-14 01:18:42.304,EVT-0000008,VS-0004390,venta_iniciada,tienda_sur,CLI-02812,nuevo,PRD-0157,hogar,4,269.24,5.0,255.78,1023.12,tarjeta,10,,2026-05-14 01:18:42,2026-05-14 01:18:50.010,4
VN-0002170,2026-05-14 01:18:42.406,EVT-0000009,VN-0002170,venta_completada,tienda_norte,CLI-02635,recurrente,PRD-0055,belleza,6,20.29,20.0,16.23,97.38,yape,7,,2026-05-14 01:18:42,2026-05-14 01:18:50.010,4
VS-0002326,2026-05-14 01:18:42.509,EVT-0000010,VS-0002326,descuento_aplicado,tienda_sur,CLI-01742,premium,PRD-0103,deportes,3,375.62,5.0,356.84,1070.52,tarjeta,46,,2026-05-14 01:18:42,2026-05-14 01:18:50.010,4
VS-0003921,2026-05-14 01:18:42.611,EVT-0000011,VS-0003921,venta_devuelta,tienda_sur,CLI-00302,recurrente,PRD-0077,hogar,4,59.81,5.0,56.82,227.28,tarjeta,28,,2026-05-14 01:18:42,2026-05-14 01:18:50.010,4
VS-0002097,2026-05-14 01:18:42.713,EVT-0000012,VS-0002097,venta_completada,tienda_sur,CLI-00771,recurrente,PRD-0185,ropa,2,178.75,0.0,178.75,357.5,yape,73,,2026-05-14 01:18:42,2026-05-14 01:18:50.010,4
VS-0002863,2026-05-14 01:18:42.816,EVT-0000013,VS-0002863,venta_completada,tienda_sur,CLI-00591,nuevo,PRD-0016,deportes,1,200.22,5.0,190.21,190.21,efectivo,189,,2026-05-14 01:18:42,2026-05-14 01:18:50.010,4
VN-0003234,2026-05-14 01:18:42.919,EVT-0000014,VN-0003234,venta_iniciada,tienda_norte,CLI-00471,recurrente,PRD-0167,ropa,6,159.02,15.0,135.17,811.02,tarjeta,271,,2026-05-14 01:18:42,2026-05-14 01:18:50.010,4
VS-0003117,2026-05-14 01:18:43.021,EVT-0000015,VS-0003117,stock_bajo,tienda_sur,CLI-02718,recurrente,PRD-0158,deportes,3,230.04,20.0,184.03,552.09,yape,278,,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VN-0005693,2026-05-14 01:18:43.124,EVT-0000016,VN-0005693,venta_completada,tienda_norte,CLI-00912,inactivo,PRD-0172,jugueteria,6,143.3,10.0,128.97,773.82,transferencia,279,,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VS-0001787,2026-05-14 01:18:43.226,EVT-0000017,VS-0001787,stock_bajo,tienda_sur,CLI-02708,recurrente,PRD-0112,deportes,5,288.27,0.0,288.27,1441.35,yape,266,,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VN-0002615,2026-05-14 01:18:43.329,EVT-0000018,VN-0002615,descuento_aplicado,tienda_norte,CLI-02877,recurrente,PRD-0147,alimentos,2,49.96,5.0,47.46,94.92,tarjeta,118,,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VS-0001337,2026-05-14 01:18:43.434,EVT-0000019,VS-0001337,venta_devuelta,tienda_sur,CLI-01276,premium,PRD-0085,hogar,6,117.15,0.0,117.15,702.9,efectivo,273,ALERTA_DEVOLUCION_ALTO_VALOR,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VN-0005833,2026-05-14 01:18:43.537,EVT-0000020,VN-0005833,venta_iniciada,tienda_norte,CLI-01767,recurrente,PRD-0173,ropa,4,176.53,15.0,150.05,600.2,transferencia,128,,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VN-0000031,2026-05-14 01:18:43.640,EVT-0000021,VN-0000031,descuento_aplicado,tienda_norte,CLI-01115,nuevo,PRD-0052,deportes,1,391.33,15.0,332.63,332.63,tarjeta,222,,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VN-0005886,2026-05-14 01:18:43.746,EVT-0000022,VN-0005886,venta_completada,tienda_norte,CLI-02375,recurrente,PRD-0078,ropa,3,54.94,10.0,49.45,148.35,tarjeta,100,,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VS-0000302,2026-05-14 01:18:43.849,EVT-0000023,VS-0000302,venta_iniciada,tienda_sur,CLI-00888,recurrente,PRD-0042,jugueteria,6,76.12,15.0,64.7,388.2,efectivo,78,,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VS-0000766,2026-05-14 01:18:43.952,EVT-0000024,VS-0000766,venta_completada,tienda_sur,CLI-00227,nuevo,PRD-0004,hogar,5,53.89,15.0,45.81,229.05,yape,20,,2026-05-14 01:18:43,2026-05-14 01:18:50.010,4
VN-0003637,2026-05-14 01:18:44.057,EVT-0000025,VN-0003637,venta_iniciada,tienda_norte,CLI-02746,premium,PRD-0058,hogar,5,175.53,20.0,140.42,702.1,yape,20,,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
VS-0003541,2026-05-14 01:18:44.159,EVT-0000026,VS-0003541,stock_bajo,tienda_sur,CLI-00840,premium,PRD-0052,deportes,4,391.33,20.0,313.06,1252.24,yape,214,,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
VN-0001790,2026-05-14 01:18:44.262,EVT-0000027,VN-0001790,descuento_aplicado,tienda_norte,CLI-02853,nuevo,PRD-0173,ropa,5,176.53,15.0,150.05,750.25,tarjeta,24,,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
VN-0004429,2026-05-14 01:18:44.365,EVT-0000028,VN-0004429,venta_completada,tienda_norte,CLI-01043,recurrente,PRD-0180,alimentos,6,16.31,10.0,14.68,88.08,yape,61,,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
VN-0001362,2026-05-14 01:18:44.467,EVT-0000029,VN-0001362,venta_iniciada,tienda_norte,CLI-02799,premium,PRD-0155,ropa,2,138.1,20.0,110.48,220.96,transferencia,14,,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
VS-0000803,2026-05-14 01:18:44.570,EVT-0000030,VS-0000803,venta_completada,tienda_sur,CLI-02840,inactivo,PRD-0023,ropa,5,64.79,0.0,64.79,323.95,efectivo,10,,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
VN-0001907,2026-05-14 01:18:44.672,EVT-0000031,VN-0001907,stock_bajo,tienda_norte,CLI-01908,nuevo,PRD-0058,hogar,4,175.53,15.0,149.2,596.8,transferencia,88,,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
VS-0002500,2026-05-14 01:18:44.774,EVT-0000032,VS-0002500,stock_bajo,tienda_sur,CLI-00764,recurrente,PRD-0071,belleza,3,71.07,5.0,67.52,202.56,tarjeta,11,ALERTA_STOCK_BAJO,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
VS-0002529,2026-05-14 01:18:44.878,EVT-0000033,VS-0002529,venta_completada,tienda_sur,CLI-02156,recurrente,PRD-0137,ropa,4,131.59,5.0,125.01,500.04,efectivo,97,,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
VN-0003408,2026-05-14 01:18:44.981,EVT-0000034,VN-0003408,venta_completada,tienda_norte,CLI-01130,inactivo,PRD-0092,electronica,2,1162.25,10.0,1046.03,2092.06,transferencia,125,,2026-05-14 01:18:44,2026-05-14 01:18:50.010,4
