message_key,kafka_timestamp,event_id,venta_id,event_type,canal,cliente_id,segmento,producto_id,categoria,cantidad,precio_base,descuento_pct,precio_final,monto_venta,metodo_pago,stock_actual,alerta,event_timestamp,processing_timestamp,batch_id
VN-0005281,2026-05-14 01:19:00.220,EVT-0000181,VN-0005281,stock_bajo,tienda_norte,CLI-02429,inactivo,PRD-0184,ropa,2,149.4,10.0,134.46,268.92,transferencia,7,ALERTA_STOCK_BAJO,2026-05-14 01:19:00,2026-05-14 01:19:10.011,6
VN-0005081,2026-05-14 01:19:00.322,EVT-0000182,VN-0005081,stock_bajo,tienda_norte,CLI-02422,recurrente,PRD-0014,hogar,5,315.58,0.0,315.58,1577.9,tarjeta,105,,2026-05-14 01:19:00,2026-05-14 01:19:10.011,6
VS-0001746,2026-05-14 01:19:00.425,EVT-0000183,VS-0001746,descuento_aplicado,tienda_sur,CLI-01326,nuevo,PRD-0042,jugueteria,1,76.12,5.0,72.31,72.31,tarjeta,17,,2026-05-14 01:19:00,2026-05-14 01:19:10.011,6
VS-0000209,2026-05-14 01:19:00.529,EVT-0000184,VS-0000209,descuento_aplicado,tienda_sur,CLI-02779,premium,PRD-0058,hogar,1,175.53,5.0,166.75,166.75,efectivo,16,,2026-05-14 01:19:00,2026-05-14 01:19:10.011,6
VN-0001291,2026-05-14 01:19:00.634,EVT-0000185,VN-0001291,stock_bajo,tienda_norte,CLI-02919,inactivo,PRD-0130,deportes,3,395.01,0.0,395.01,1185.03,efectivo,164,,2026-05-14 01:19:00,2026-05-14 01:19:10.011,6
VS-0001679,2026-05-14 01:19:00.740,EVT-0000186,VS-0001679,venta_iniciada,tienda_sur,CLI-00588,recurrente,PRD-0128,belleza,5,50.61,0.0,50.61,253.05,efectivo,411,,2026-05-14 01:19:00,2026-05-14 01:19:10.011,6
VS-0004656,2026-05-14 01:19:00.852,EVT-0000187,VS-0004656,descuento_aplicado,tienda_sur,CLI-00072,nuevo,PRD-0185,ropa,4,178.75,0.0,178.75,715.0,efectivo,55,,2026-05-14 01:19:00,2026-05-14 01:19:10.011,6
VS-0003961,2026-05-14 01:19:00.955,EVT-0000188,VS-0003961,venta_iniciada,tienda_sur,CLI-02826,recurrente,PRD-0044,hogar,4,105.96,5.0,100.66,402.64,yape,212,,2026-05-14 01:19:00,2026-05-14 01:19:10.011,6
VN-0004478,2026-05-14 01:19:01.059,EVT-0000189,VN-0004478,descuento_aplicado,tienda_norte,CLI-00592,recurrente,PRD-0001,electronica,4,380.31,15.0,323.26,1293.04,transferencia,211,,2026-05-14 01:19:01,2026-05-14 01:19:10.011,6
VN-0005140,2026-05-14 01:19:01.164,EVT-0000190,VN-0005140,stock_bajo,tienda_norte,CLI-00757,recurrente,PRD-0022,hogar,3,64.46,0.0,64.46,193.38,tarjeta,272,,2026-05-14 01:19:01,2026-05-14 01:19:10.011,6
