message_key,kafka_timestamp,event_id,venta_id,event_type,canal,cliente_id,segmento,producto_id,categoria,cantidad,precio_base,descuento_pct,precio_final,monto_venta,metodo_pago,stock_actual,alerta,event_timestamp,processing_timestamp,batch_id
VN-0003053,2026-05-14 01:18:50.022,EVT-0000083,VN-0003053,venta_iniciada,tienda_norte,CLI-01880,recurrente,PRD-0049,electronica,3,1047.28,0.0,1047.28,3141.84,efectivo,56,,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VN-0001365,2026-05-14 01:18:50.125,EVT-0000084,VN-0001365,descuento_aplicado,tienda_norte,CLI-01077,recurrente,PRD-0159,electronica,6,1128.82,0.0,1128.82,6772.92,tarjeta,76,,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VN-0000825,2026-05-14 01:18:50.227,EVT-0000085,VN-0000825,venta_completada,tienda_norte,CLI-02836,premium,PRD-0133,belleza,1,96.84,10.0,87.16,87.16,efectivo,155,,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VS-0004197,2026-05-14 01:18:50.330,EVT-0000086,VS-0004197,venta_completada,tienda_sur,CLI-01226,nuevo,PRD-0086,alimentos,2,17.6,0.0,17.6,35.2,tarjeta,42,,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VN-0001817,2026-05-14 01:18:50.433,EVT-0000087,VN-0001817,feedback_recibido,tienda_norte,CLI-02445,premium,PRD-0129,ropa,4,99.95,20.0,79.96,319.84,tarjeta,226,,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VS-0004350,2026-05-14 01:18:50.538,EVT-0000088,VS-0004350,venta_iniciada,tienda_sur,CLI-02839,inactivo,PRD-0162,deportes,3,84.67,5.0,80.44,241.32,tarjeta,161,,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VS-0003654,2026-05-14 01:18:50.641,EVT-0000089,VS-0003654,feedback_recibido,tienda_sur,CLI-02899,premium,PRD-0083,belleza,4,92.72,20.0,74.18,296.72,transferencia,15,,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VN-0003886,2026-05-14 01:18:50.744,EVT-0000090,VN-0003886,descuento_aplicado,tienda_norte,CLI-01460,recurrente,PRD-0099,deportes,3,360.62,0.0,360.62,1081.86,tarjeta,16,,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VS-0004102,2026-05-14 01:18:50.846,EVT-0000091,VS-0004102,stock_bajo,tienda_sur,CLI-00389,inactivo,PRD-0050,alimentos,3,11.33,0.0,11.33,33.99,tarjeta,8,ALERTA_STOCK_BAJO,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VN-0000226,2026-05-14 01:18:50.949,EVT-0000092,VN-0000226,venta_iniciada,tienda_norte,CLI-01488,recurrente,PRD-0040,hogar,5,171.54,20.0,137.23,686.15,yape,8,,2026-05-14 01:18:50,2026-05-14 01:19:00.210,5
VS-0001130,2026-05-14 01:18:51.051,EVT-0000093,VS-0001130,venta_iniciada,tienda_sur,CLI-02832,recurrente,PRD-0089,alimentos,1,68.95,15.0,58.61,58.61,transferencia,232,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VS-0001540,2026-05-14 01:18:51.156,EVT-0000094,VS-0001540,venta_completada,tienda_sur,CLI-01672,premium,PRD-0081,hogar,3,115.75,0.0,115.75,347.25,tarjeta,200,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VN-0005650,2026-05-14 01:18:51.258,EVT-0000095,VN-0005650,venta_iniciada,tienda_norte,CLI-02641,recurrente,PRD-0058,hogar,4,175.53,15.0,149.2,596.8,tarjeta,37,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VN-0000492,2026-05-14 01:18:51.361,EVT-0000096,VN-0000492,venta_completada,tienda_norte,CLI-01345,nuevo,PRD-0127,belleza,4,41.04,20.0,32.83,131.32,yape,351,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VN-0004237,2026-05-14 01:18:51.463,EVT-0000097,VN-0004237,venta_iniciada,tienda_norte,CLI-00825,nuevo,PRD-0130,deportes,5,395.01,5.0,375.26,1876.3,tarjeta,99,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VS-0003743,2026-05-14 01:18:51.566,EVT-0000098,VS-0003743,venta_iniciada,tienda_sur,CLI-02638,inactivo,PRD-0161,belleza,1,33.75,15.0,28.69,28.69,tarjeta,175,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VS-0002884,2026-05-14 01:18:51.669,EVT-0000099,VS-0002884,feedback_recibido,tienda_sur,CLI-02367,recurrente,PRD-0182,hogar,3,116.18,5.0,110.37,331.11,yape,57,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VN-0004932,2026-05-14 01:18:51.773,EVT-0000100,VN-0004932,feedback_recibido,tienda_norte,CLI-02370,recurrente,PRD-0060,jugueteria,4,139.14,10.0,125.23,500.92,tarjeta,51,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VN-0005267,2026-05-14 01:18:51.876,EVT-0000101,VN-0005267,venta_completada,tienda_norte,CLI-02488,premium,PRD-0183,ropa,3,45.73,0.0,45.73,137.19,tarjeta,209,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VS-0001175,2026-05-14 01:18:51.980,EVT-0000102,VS-0001175,venta_completada,tienda_sur,CLI-00208,recurrente,PRD-0113,hogar,6,163.22,15.0,138.74,832.44,efectivo,22,,2026-05-14 01:18:51,2026-05-14 01:19:00.210,5
VN-0002727,2026-05-14 01:18:52.084,EVT-0000103,VN-0002727,stock_bajo,tienda_norte,CLI-00868,recurrente,PRD-0037,belleza,2,75.32,5.0,71.55,143.1,efectivo,240,,2026-05-14 01:18:52,2026-05-14 01:19:00.210,5
VN-0003973,2026-05-14 01:18:52.186,EVT-0000104,VN-0003973,venta_iniciada,tienda_norte,CLI-01165,recurrente,PRD-0014,hogar,1,315.58,5.0,299.8,299.8,efectivo,158,,2026-05-14 01:18:52,2026-05-14 01:19:00.210,5
VN-0001948,2026-05-14 01:18:52.289,EVT-0000105,VN-0001948,venta_completada,tienda_norte,CLI-02889,inactivo,PRD-0158,deportes,1,230.04,10.0,207.04,207.04,efectivo,131,,2026-05-14 01:18:52,2026-05-14 01:19:00.210,5
VS-0000363,2026-05-14 01:18:52.393,EVT-0000106,VS-0000363,venta_iniciada,tienda_sur,CLI-02440,recurrente,PRD-0054,ropa,2,98.65,0.0,98.65,197.3,tarjeta,215,,2026-05-14 01:18:52,2026-05-14 01:19:00.210,5
VS-0002110,2026-05-14 01:18:52.496,EVT-0000107,VS-0002110,venta_completada,tienda_sur,CLI-01452,recurrente,PRD-0038,alimentos,2,41.76,20.0,33.41,66.82,transferencia,136,,2026-05-14 01:18:52,2026-05-14 01:19:00.210,5
VS-0000341,2026-05-14 01:18:52.602,EVT-0000108,VS-0000341,venta_completada,tienda_sur,CLI-02997,recurrente,PRD-0089,alimentos,3,68.95,10.0,62.06,186.18,efectivo,257,,2026-05-14 01:18:52,2026-05-14 01:19:00.210,5
VS-0003391,2026-05-14 01:18:52.705,EVT-0000109,VS-0003391,descuento_aplicado,tienda_sur,CLI-01985,recurrente,PRD-0015,deportes,4,57.34,10.0,51.61,206.44,efectivo,157,,2026-05-14 01:18:52,2026-05-14 01:19:00.210,5
VN-0000093,2026-05-14 01:18:52.809,EVT-0000110,VN-0000093,venta_completada,tienda_norte,CLI-01746,nuevo,PRD-0115,electronica,2,1144.16,15.0,972.54,1945.08,yape,29,,2026-05-14 01:18:52,2026-05-14 01:19:00.210,5
VS-0001400,2026-05-14 01:18:52.916,EVT-0000111,VS-0001400,venta_completada,tienda_sur,CLI-02466,nuevo,PRD-0037,belleza,6,75.32,5.0,71.55,429.3,transferencia,253,,2026-05-14 01:18:52,2026-05-14 01:19:00.210,5
VN-0003602,2026-05-14 01:18:53.019,EVT-0000112,VN-0003602,venta_devuelta,tienda_norte,CLI-02474,nuevo,PRD-0175,ropa,2,74.48,0.0,74.48,148.96,transferencia,164,,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VN-0003432,2026-05-14 01:18:53.122,EVT-0000113,VN-0003432,stock_bajo,tienda_norte,CLI-02624,nuevo,PRD-0039,ropa,3,61.08,15.0,51.92,155.76,tarjeta,27,,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VS-0000190,2026-05-14 01:18:53.226,EVT-0000114,VS-0000190,venta_iniciada,tienda_sur,CLI-01157,nuevo,PRD-0012,hogar,2,154.12,0.0,154.12,308.24,tarjeta,118,,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VS-0004434,2026-05-14 01:18:53.331,EVT-0000115,VS-0004434,stock_bajo,tienda_sur,CLI-01998,nuevo,PRD-0195,ropa,6,173.27,5.0,164.61,987.66,yape,174,,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VS-0000651,2026-05-14 01:18:53.434,EVT-0000116,VS-0000651,venta_iniciada,tienda_sur,CLI-00291,recurrente,PRD-0001,electronica,1,380.31,0.0,380.31,380.31,yape,40,,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VS-0001256,2026-05-14 01:18:53.538,EVT-0000117,VS-0001256,venta_iniciada,tienda_sur,CLI-01462,recurrente,PRD-0179,deportes,4,389.09,0.0,389.09,1556.36,efectivo,193,,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VS-0002009,2026-05-14 01:18:53.641,EVT-0000118,VS-0002009,venta_completada,tienda_sur,CLI-00629,inactivo,PRD-0098,electronica,3,793.19,0.0,793.19,2379.57,yape,101,,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VN-0002117,2026-05-14 01:18:53.745,EVT-0000119,VN-0002117,feedback_recibido,tienda_norte,CLI-02313,nuevo,PRD-0190,hogar,3,236.97,0.0,236.97,710.91,transferencia,0,,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VN-0004417,2026-05-14 01:18:53.848,EVT-0000120,VN-0004417,venta_devuelta,tienda_norte,CLI-01292,recurrente,PRD-0018,hogar,6,143.21,10.0,128.89,773.34,tarjeta,173,ALERTA_DEVOLUCION_ALTO_VALOR,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VS-0003542,2026-05-14 01:18:53.953,EVT-0000121,VS-0003542,venta_completada,tienda_sur,CLI-02601,recurrente,PRD-0022,hogar,5,64.46,0.0,64.46,322.3,tarjeta,255,,2026-05-14 01:18:53,2026-05-14 01:19:00.210,5
VS-0001678,2026-05-14 01:18:54.057,EVT-0000122,VS-0001678,venta_iniciada,tienda_sur,CLI-00100,premium,PRD-0053,alimentos,4,5.18,0.0,5.18,20.72,transferencia,108,,2026-05-14 01:18:54,2026-05-14 01:19:00.210,5
VN-0001528,2026-05-14 01:18:54.160,EVT-0000123,VN-0001528,descuento_aplicado,tienda_norte,CLI-00254,inactivo,PRD-0079,hogar,2,291.31,15.0,247.61,495.22,tarjeta,48,,2026-05-14 01:18:54,2026-05-14 01:19:00.210,5
VS-0004418,2026-05-14 01:18:54.262,EVT-0000124,VS-0004418,venta_iniciada,tienda_sur,CLI-01936,premium,PRD-0032,ropa,6,132.44,20.0,105.95,635.7,transferencia,6,,2026-05-14 01:18:54,2026-05-14 01:19:00.210,5
VN-0002329,2026-05-14 01:18:54.365,EVT-0000125,VN-0002329,feedback_recibido,tienda_norte,CLI-01732,premium,PRD-0083,belleza,5,92.72,10.0,83.45,417.25,transferencia,14,,2026-05-14 01:18:54,2026-05-14 01:19:00.210,5
VN-0000013,2026-05-14 01:18:54.469,EVT-0000126,VN-0000013,venta_completada,tienda_norte,CLI-02428,recurrente,PRD-0035,hogar,4,108.66,0.0,108.66,434.64,tarjeta,42,,2026-05-14 01:18:54,2026-05-14 01:19:00.210,5
VN-0001726,2026-05-14 01:18:54.573,EVT-0000127,VN-0001726,venta_iniciada,tienda_norte,CLI-00477,inactivo,PRD-0128,belleza,6,50.61,0.0,50.61,303.66,efectivo,242,,2026-05-14 01:18:54,2026-05-14 01:19:00.210,5
VN-0000815,2026-05-14 01:18:54.677,EVT-0000128,VN-0000815,feedback_recibido,tienda_norte,CLI-01236,recurrente,PRD-0080,ropa,5,142.71,5.0,135.57,677.85,tarjeta,46,,2026-05-14 01:18:54,2026-05-14 01:19:00.210,5
