message_key,kafka_timestamp,event_id,venta_id,event_type,canal,cliente_id,segmento,producto_id,categoria,cantidad,precio_base,descuento_pct,precio_final,monto_venta,metodo_pago,stock_actual,alerta,event_timestamp,processing_timestamp,batch_id
VS-0004550,2026-05-13 04:25:50.031,EVT-0000548,VS-0004550,descuento_aplicado,tienda_sur,CLI-02972,recurrente,PRD-0138,deportes,4,146.2,0.0,146.2,584.8,transferencia,44,,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VN-0003344,2026-05-13 04:25:50.133,EVT-0000549,VN-0003344,venta_completada,tienda_norte,CLI-02950,recurrente,PRD-0103,deportes,5,375.62,20.0,300.5,1502.5,tarjeta,30,,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VS-0004455,2026-05-13 04:25:50.235,EVT-0000550,VS-0004455,venta_iniciada,tienda_sur,CLI-02206,recurrente,PRD-0085,hogar,4,117.15,20.0,93.72,374.88,transferencia,106,,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VN-0001917,2026-05-13 04:25:50.338,EVT-0000551,VN-0001917,descuento_aplicado,tienda_norte,CLI-01628,recurrente,PRD-0142,hogar,4,121.27,0.0,121.27,485.08,yape,35,,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VS-0002251,2026-05-13 04:25:50.441,EVT-0000552,VS-0002251,venta_devuelta,tienda_sur,CLI-00931,inactivo,PRD-0165,electronica,2,913.18,0.0,913.18,1826.36,tarjeta,5,ALERTA_DEVOLUCION_ALTO_VALOR,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VS-0001379,2026-05-13 04:25:50.544,EVT-0000553,VS-0001379,feedback_recibido,tienda_sur,CLI-02643,recurrente,PRD-0024,jugueteria,6,135.72,10.0,122.15,732.9,efectivo,42,,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VS-0000817,2026-05-13 04:25:50.646,EVT-0000554,VS-0000817,stock_bajo,tienda_sur,CLI-02193,nuevo,PRD-0111,alimentos,2,73.87,5.0,70.18,140.36,efectivo,22,,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VS-0000173,2026-05-13 04:25:50.749,EVT-0000555,VS-0000173,venta_iniciada,tienda_sur,CLI-00859,nuevo,PRD-0001,electronica,1,380.31,10.0,342.28,342.28,transferencia,184,,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VS-0004225,2026-05-13 04:25:50.852,EVT-0000556,VS-0004225,venta_completada,tienda_sur,CLI-02547,recurrente,PRD-0022,hogar,6,64.46,0.0,64.46,386.76,transferencia,309,,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VS-0003995,2026-05-13 04:25:50.954,EVT-0000557,VS-0003995,venta_iniciada,tienda_sur,CLI-01590,nuevo,PRD-0001,electronica,2,380.31,5.0,361.29,722.58,yape,195,,2026-05-13 04:25:50,2026-05-13 04:26:00.032,3
VN-0005083,2026-05-13 04:25:51.058,EVT-0000558,VN-0005083,stock_bajo,tienda_norte,CLI-02930,nuevo,PRD-0167,ropa,3,159.02,0.0,159.02,477.06,transferencia,277,,2026-05-13 04:25:51,2026-05-13 04:26:00.032,3
VN-0000938,2026-05-13 04:25:51.162,EVT-0000559,VN-0000938,stock_bajo,tienda_norte,CLI-02177,recurrente,PRD-0115,electronica,6,1144.16,5.0,1086.95,6521.7,transferencia,30,,2026-05-13 04:25:51,2026-05-13 04:26:00.032,3
VS-0000751,2026-05-13 04:25:51.265,EVT-0000560,VS-0000751,feedback_recibido,tienda_sur,CLI-00965,recurrente,PRD-0029,ropa,2,100.57,0.0,100.57,201.14,yape,51,,2026-05-13 04:25:51,2026-05-13 04:26:00.032,3
