message_key,kafka_timestamp,event_id,venta_id,event_type,canal,cliente_id,segmento,producto_id,categoria,cantidad,precio_base,descuento_pct,precio_final,monto_venta,metodo_pago,stock_actual,alerta,event_timestamp,processing_timestamp,batch_id
VN-0004144,2026-05-13 04:25:41.354,EVT-0000465,VN-0004144,descuento_aplicado,tienda_norte,CLI-00257,nuevo,PRD-0066,electronica,4,819.09,15.0,696.23,2784.92,tarjeta,86,,2026-05-13 04:25:41,2026-05-13 04:25:50.024,2
VS-0003262,2026-05-13 04:25:41.459,EVT-0000466,VS-0003262,venta_iniciada,tienda_sur,CLI-01393,recurrente,PRD-0022,hogar,3,64.46,0.0,64.46,193.38,tarjeta,48,,2026-05-13 04:25:41,2026-05-13 04:25:50.024,2
VN-0004811,2026-05-13 04:25:41.562,EVT-0000467,VN-0004811,venta_iniciada,tienda_norte,CLI-01852,recurrente,PRD-0029,ropa,6,100.57,0.0,100.57,603.42,yape,144,,2026-05-13 04:25:41,2026-05-13 04:25:50.024,2
VN-0000671,2026-05-13 04:25:41.666,EVT-0000468,VN-0000671,feedback_recibido,tienda_norte,CLI-01366,recurrente,PRD-0011,ropa,2,75.37,0.0,75.37,150.74,tarjeta,321,,2026-05-13 04:25:41,2026-05-13 04:25:50.024,2
VN-0001824,2026-05-13 04:25:41.771,EVT-0000469,VN-0001824,venta_completada,tienda_norte,CLI-02123,recurrente,PRD-0198,electronica,4,359.6,10.0,323.64,1294.56,tarjeta,35,,2026-05-13 04:25:41,2026-05-13 04:25:50.024,2
VS-0001378,2026-05-13 04:25:41.874,EVT-0000470,VS-0001378,venta_completada,tienda_sur,CLI-00761,nuevo,PRD-0005,deportes,1,212.54,10.0,191.29,191.29,transferencia,174,,2026-05-13 04:25:41,2026-05-13 04:25:50.024,2
VS-0002336,2026-05-13 04:25:41.978,EVT-0000471,VS-0002336,venta_completada,tienda_sur,CLI-00526,premium,PRD-0092,electronica,2,1162.25,0.0,1162.25,2324.5,efectivo,232,,2026-05-13 04:25:41,2026-05-13 04:25:50.024,2
VS-0003577,2026-05-13 04:25:42.081,EVT-0000472,VS-0003577,venta_completada,tienda_sur,CLI-00020,inactivo,PRD-0091,alimentos,5,49.81,0.0,49.81,249.05,efectivo,34,,2026-05-13 04:25:42,2026-05-13 04:25:50.024,2
VS-0001612,2026-05-13 04:25:42.194,EVT-0000473,VS-0001612,descuento_aplicado,tienda_sur,CLI-00111,recurrente,PRD-0138,deportes,4,146.2,20.0,116.96,467.84,tarjeta,311,,2026-05-13 04:25:42,2026-05-13 04:25:50.024,2
VN-0002204,2026-05-13 04:25:42.299,EVT-0000474,VN-0002204,venta_completada,tienda_norte,CLI-01955,recurrente,PRD-0046,electronica,1,362.76,5.0,344.62,344.62,transferencia,117,,2026-05-13 04:25:42,2026-05-13 04:25:50.024,2
VS-0002115,2026-05-13 04:25:42.402,EVT-0000475,VS-0002115,venta_iniciada,tienda_sur,CLI-00598,recurrente,PRD-0017,electronica,5,739.99,0.0,739.99,3699.95,yape,144,,2026-05-13 04:25:42,2026-05-13 04:25:50.024,2
